net,length_um
_0332_,19.28µm
net273,19.28µm
_0474_,19.24µm
_0766_,19.2µm
_0709_,19.14µm
net11,19.12µm
_0988_,19.06µm
net53,18.86µm
_0789_,18.82µm
_0166_,18.74µm
_0561_,18.7µm
_1006_,18.67µm
_1000_,18.66µm
net175,18.65µm
_0796_,18.62µm
net40,18.58µm
net110,18.56µm
_0189_,18.54µm
lf_inst.integrator\[30\],18.5µm
_0351_,18.425µm
_0386_,18.4µm
net194,18.4µm
_0601_,18.32µm
_0418_,18.3µm
net223,18.26µm
_0627_,18.24µm
_0621_,18.2µm
_0801_,18.2µm
net163,18.16µm
net242,18.16µm
net104,18.12µm
net48,18.1µm
_0163_,18.06µm
_0948_,18.06µm
_0586_,18.02µm
_0283_,17.98µm
_0393_,17.98µm
_0509_,17.98µm
_0228_,17.88µm
div_inst.counter\[25\],17.88µm
net122,17.88µm
_0167_,17.86µm
_0926_,17.74µm
_0951_,17.74µm
_0221_,17.7µm
_0299_,17.7µm
dco_inst.accumulator\[5\],17.68µm
_0635_,17.58µm
_1008_,17.58µm
net59,17.52µm
_0404_,17.48µm
net167,17.48µm
net195,17.36µm
_0317_,17.3µm
_0845_,17.18µm
_0455_,17.17µm
_0359_,17.14µm
_0569_,16.94µm
lf_inst.integrator\[29\],16.82µm
_0182_,16.78µm
dco_inst.accumulator\[9\],16.72µm
_0355_,16.66µm
_0867_,16.65µm
dco_inst.accumulator\[8\],16.64µm
_0432_,16.62µm
net61,16.605µm
_0566_,16.56µm
net126,16.56µm
_0716_,16.54µm
_0638_,16.52µm
_0306_,16.42µm
_0524_,16.38µm
lf_inst.integrator\[3\],16.36µm
lf_inst.integrator\[18\],16.26µm
_0618_,16.18µm
_1036_,16.18µm
_0538_,16.12µm
net56,16.1µm
_0598_,16.09µm
_0179_,16.08µm
net275,16.02µm
_0383_,15.98µm
_0859_,15.94µm
_0479_,15.9µm
_0659_,15.8µm
_1019_,15.8µm
_0199_,15.78µm
_0442_,15.76µm
_0772_,15.76µm
_1015_,15.76µm
_0227_,15.74µm
_0712_,15.7µm
lf_inst.integrator\[28\],15.68µm
_0936_,15.66µm
_0736_,15.62µm
_0686_,15.58µm
_0892_,15.56µm
_1022_,15.56µm
_0584_,15.54µm
_0184_,15.44µm
_0252_,15.44µm
_0591_,15.4µm
_0173_,15.38µm
net116,15.26µm
_0904_,15.22µm
_0931_,15.22µm
net2,15.22µm
_0193_,15.2µm
_0245_,15.2µm
_0997_,15.2µm
div_inst.counter\[17\],15.2µm
_0483_,15.16µm
_0664_,15.14µm
pfd_inst.state\[1\],15.12µm
_0094_,15.085µm
_0521_,15.08µm
_0689_,15.06µm
_0810_,15.05µm
net128,15.04µm
_1042_,15µm
_0570_,14.98µm
dco_inst.accumulator\[0\],14.98µm
_0673_,14.96µm
_0212_,14.94µm
_0740_,14.94µm
net141,14.92µm
_0565_,14.9µm
_0720_,14.9µm
_0697_,14.88µm
_0520_,14.825µm
lf_inst.integrator\[19\],14.82µm
_0781_,14.76µm
_0806_,14.76µm
_0868_,14.68µm
