Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_57_452,VDD,Metal1,261.3400,239.5525,4.999969
FILLER_57_438,VDD,Metal1,252.2800,239.1200,4.999970
FILLER_57_422,VDD,Metal1,248.1280,239.8120,4.999970
FILLER_57_412,VDD,Metal1,240.1865,239.6965,4.999970
FILLER_57_366,VDD,Metal1,211.9600,239.1200,4.999972
FILLER_57_364,VDD,Metal1,211.1200,239.1200,4.999972
FILLER_57_352,VDD,Metal1,205.3400,239.5525,4.999972
FILLER_57_346,VDD,Metal1,201.9800,239.5525,4.999974
FILLER_57_339,VDD,Metal1,196.8400,239.1200,4.999974
FILLER_57_337,VDD,Metal1,196.0000,239.1200,4.999974
FILLER_57_321,VDD,Metal1,186.7600,239.1200,4.999974
FILLER_57_319,VDD,Metal1,185.9200,239.1200,4.999974
FILLER_57_315,VDD,Metal1,184.6200,239.5525,4.999974
FILLER_57_282,VDD,Metal1,166.1400,239.5525,4.999975
FILLER_57_263,VDD,Metal1,154.5600,239.1200,4.999976
FILLER_57_255,VDD,Metal1,150.0800,239.1200,4.999978
FILLER_57_247,VDD,Metal1,147.7865,239.6965,4.999978
FILLER_57_238,VDD,Metal1,140.2800,239.1200,4.999981
FILLER_57_236,VDD,Metal1,139.4400,239.1200,4.999981
FILLER_57_212,VDD,Metal1,126.9400,239.5525,4.999985
FILLER_57_199,VDD,Metal1,118.4400,239.1200,4.999986
FILLER_57_197,VDD,Metal1,117.6000,239.1200,4.999986
FILLER_57_193,VDD,Metal1,116.3000,239.5525,4.999986
FILLER_57_186,VDD,Metal1,111.4400,239.1200,4.999990
FILLER_57_182,VDD,Metal1,110.1400,239.5525,4.999990
FILLER_57_174,VDD,Metal1,106.9065,239.6965,4.999991
FILLER_57_142,VDD,Metal1,95.8755,239.8885,4.999991
FILLER_57_139,VDD,Metal1,84.8400,239.1200,4.999991
FILLER_57_137,VDD,Metal1,84.0000,239.1200,4.999991
FILLER_57_129,VDD,Metal1,81.7065,239.6965,4.999991
FILLER_57_108,VDD,Metal1,67.7600,239.1200,4.999994
FILLER_57_100,VDD,Metal1,65.4665,239.6965,4.999994
FILLER_57_78,VDD,Metal1,50.6800,239.1200,4.999994
FILLER_57_57,VDD,Metal1,38.9200,239.1200,4.999991
FILLER_57_55,VDD,Metal1,38.0800,239.1200,4.999991
FILLER_57_51,VDD,Metal1,36.7800,239.5525,4.999991
FILLER_57_35,VDD,Metal1,26.6000,239.1200,4.999991
FILLER_57_31,VDD,Metal1,25.5800,239.5525,4.999991
FILLER_56_457,VDD,Metal1,262.9200,239.1200,4.999969
