net,length_um
debug_dco_word[21],5.07µm
_0931_,5.06µm
_0876_,5.02µm
_0349_,5µm
_0703_,5µm
div_val[14],4.95µm
div_val[21],4.95µm
div_val[6],4.95µm
div_val[7],4.95µm
initial_freq[15],4.95µm
initial_freq[21],4.95µm
_0493_,4.94µm
_0005_,4.925µm
_0560_,4.92µm
_0625_,4.92µm
_0754_,4.92µm
_0888_,4.92µm
dco_inst.accumulator\[16\],4.92µm
net301,4.92µm
net305,4.92µm
net324,4.92µm
_0230_,4.9µm
_0926_,4.9µm
_0035_,4.885µm
_0286_,4.88µm
_0695_,4.88µm
_0753_,4.88µm
net282,4.88µm
_0046_,4.845µm
net271,4.82µm
_0270_,4.8µm
_0319_,4.8µm
_0924_,4.8µm
_0960_,4.8µm
dco_inst.accumulator\[2\],4.8µm
net64,4.8µm
net297,4.8µm
_0362_,4.76µm
_0445_,4.76µm
_0748_,4.76µm
_0850_,4.76µm
_0973_,4.76µm
_0441_,4.68µm
net292,4.68µm
_0777_,4.66µm
_0054_,4.625µm
_0080_,4.625µm
div_val[0],4.61µm
div_val[24],4.61µm
div_val[4],4.61µm
_0084_,4.585µm
_0663_,4.56µm
net296,4.56µm
_0297_,4.5µm
_0606_,4.46µm
_0645_,4.46µm
_0649_,4.46µm
net281,4.46µm
dco_inst.accumulator\[7\],4.44µm
_0431_,4.42µm
_0446_,4.42µm
_0747_,4.42µm
_0077_,4.405µm
debug_dco_word[15],4.39µm
debug_dco_word[17],4.39µm
debug_dco_word[22],4.39µm
debug_dco_word[23],4.39µm
_0029_,4.385µm
_0076_,4.385µm
_0114_,4.385µm
_0307_,4.36µm
_0775_,4.36µm
_0966_,4.36µm
_0275_,4.34µm
_0350_,4.34µm
dco_inst.accumulator\[10\],4.34µm
dco_inst.accumulator\[20\],4.34µm
div_val[17],4.27µm
initial_freq[14],4.27µm
initial_freq[20],4.27µm
_0110_,4.24µm
dco_inst.accumulator\[19\],4.22µm
net61,4.22µm
_0949_,4.2µm
_0406_,4.17µm
_0118_,4.165µm
net306,4.14µm
net310,4.14µm
_0706_,4.12µm
_0661_,4.1µm
net330,4.08µm
_1000_,4.04µm
_0845_,4.025µm
_0247_,4.02µm
_0255_,4.02µm
_0259_,4.02µm
_0376_,4.02µm
_0402_,4.005µm
_0217_,4µm
_0252_,4µm
_0326_,4µm
_0491_,4µm
_0499_,4µm
_0928_,4µm
net304,4µm
_0122_,3.985µm
_0356_,3.98µm
net143,3.98µm
net331,3.98µm
_0074_,3.965µm
_0085_,3.965µm
div_val[15],3.93µm
initial_freq[19],3.93µm
rst_n,3.93µm
_0071_,3.925µm
_0094_,3.925µm
_0248_,3.88µm
_0253_,3.88µm
_0577_,3.88µm
_0719_,3.88µm
_0171_,3.84µm
_0910_,3.785µm
_0002_,3.78µm
_0027_,3.78µm
_0867_,3.78µm
_0591_,3.76µm
_0513_,3.74µm
_0878_,3.74µm
_0032_,3.705µm
_0056_,3.705µm
_0643_,3.68µm
_0981_,3.68µm
_0872_,3.64µm
_0284_,3.56µm
_0377_,3.56µm
_0392_,3.56µm
_0555_,3.56µm
net325,3.56µm
_0807_,3.54µm
dco_inst.accumulator\[13\],3.54µm
dco_inst.accumulator\[18\],3.54µm
dco_inst.accumulator\[21\],3.54µm
net113,3.54µm
net327,3.54µm
_0073_,3.505µm
_0083_,3.505µm
_0017_,3.465µm
_0038_,3.465µm
_0010_,3.44µm
_0466_,3.44µm
dco_inst.accumulator\[24\],3.44µm
dco_inst.accumulator\[26\],3.44µm
_0169_,3.42µm
_0390_,3.42µm
_0411_,3.42µm
_0451_,3.42µm
_0893_,3.42µm
net293,3.42µm
net329,3.42µm
_0072_,3.345µm
_0146_,3.345µm
_0109_,3.32µm
_0599_,3.32µm
_0042_,3.295µm
_0016_,3.245µm
_0111_,3.245µm
_0120_,3.245µm
_0139_,3.245µm
_0470_,3.22µm
_0489_,3.22µm
_0512_,3.22µm
_0832_,3.22µm
pfd_inst.ref_sync\[0\],3.22µm
_0521_,3.18µm
_0586_,3.18µm
_0881_,3.18µm
_0001_,3.145µm
_0152_,3.1µm
_0426_,3.1µm
_0603_,3.1µm
net321,3.1µm
_0159_,3.08µm
_0325_,3.08µm
_0410_,3.08µm
_0519_,3.08µm
_0609_,3.08µm
_0658_,3.08µm
_0702_,3.08µm
_1018_,3.08µm
net52,3.08µm
net340,3.08µm
_0061_,3.045µm
_0087_,3.045µm
_0125_,3.045µm
_0043_,3.005µm
_0060_,3.005µm
_0119_,3.005µm
net326,2.98µm
_0231_,2.96µm
_0399_,2.96µm
_0496_,2.96µm
_0705_,2.96µm
_0789_,2.96µm
_0912_,2.96µm
net67,2.96µm
_0095_,2.945µm
_0090_,2.885µm
_0008_,2.86µm
_0116_,2.86µm
_0023_,2.785µm
_0103_,2.785µm
_0138_,2.785µm
_0142_,2.785µm
_0508_,2.76µm
_0644_,2.76µm
_0680_,2.76µm
_0321_,2.74µm
_0401_,2.74µm
net283,2.74µm
_0021_,2.715µm
_0024_,2.715µm
_0025_,2.715µm
_0078_,2.715µm
_0357_,2.64µm
_0611_,2.64µm
_0744_,2.64µm
_0838_,2.64µm
net288,2.64µm
_0242_,2.62µm
_0260_,2.62µm
_0338_,2.62µm
_0408_,2.62µm
_0414_,2.62µm
_0422_,2.62µm
_0717_,2.62µm
_0795_,2.62µm
_0852_,2.62µm
_0941_,2.62µm
_1008_,2.62µm
net51,2.62µm
_0935_,2.615µm
_0102_,2.605µm
_0140_,2.605µm
_0039_,2.595µm
_0104_,2.585µm
_0117_,2.585µm
_0105_,2.545µm
_0132_,2.545µm
_0135_,2.545µm
_0100_,2.52µm
_0559_,2.52µm
_0734_,2.52µm
_0920_,2.52µm
_0237_,2.5µm
_0389_,2.5µm
_0420_,2.5µm
_0437_,2.5µm
_0488_,2.5µm
_0497_,2.5µm
_0527_,2.5µm
_0651_,2.5µm
_0770_,2.5µm
_0948_,2.5µm
net34,2.5µm
net37,2.5µm
net62,2.5µm
_0635_,2.48µm
_0006_,2.42µm
_0108_,2.42µm
_0503_,2.4µm
_0697_,2.4µm
_0802_,2.4µm
net299,2.4µm
_0264_,2.38µm
_0416_,2.38µm
_0011_,2.375µm
_0047_,2.325µm
_0106_,2.325µm
_0112_,2.325µm
_0136_,2.325µm
net300,2.325µm
div_inst.clk_out,2.305µm
_0947_,2.3µm
_1012_,2.3µm
net303,2.3µm
net319,2.3µm
_0794_,2.28µm
_0884_,2.255µm
net339,2.255µm
_0265_,2.18µm
_0303_,2.18µm
_0344_,2.18µm
_0724_,2.18µm
_0835_,2.18µm
net295,2.18µm
net322,2.18µm
net337,2.18µm
_0147_,2.16µm
_0190_,2.16µm
_0250_,2.16µm
_0300_,2.16µm
_0354_,2.16µm
_0393_,2.16µm
_0550_,2.16µm
_0578_,2.16µm
_0605_,2.16µm
_0711_,2.16µm
_0733_,2.16µm
_0974_,2.16µm
_1016_,2.16µm
net50,2.16µm
net56,2.16µm
_0121_,2.145µm
_0123_,2.145µm
_0145_,2.145µm
_0003_,2.125µm
_0036_,2.125µm
_0045_,2.125µm
_0089_,2.125µm
_0126_,2.125µm
_0033_,2.085µm
_0040_,2.085µm
_0144_,2.085µm
_0009_,2.08µm
_0371_,2.065µm
net43,2.06µm
net45,2.06µm
_0438_,2.045µm
_0166_,2.04µm
_0565_,2.04µm
_0896_,2.04µm
_0904_,2.04µm
net302,2.04µm
net323,2.04µm
_0113_,2.035µm
_0018_,2.025µm
_0044_,2.025µm
_0091_,2.025µm
_0092_,2.025µm
_0096_,2.025µm
_0107_,2.025µm
_0520_,1.94µm
_0620_,1.915µm
_0015_,1.865µm
_0065_,1.865µm
_0075_,1.865µm
_0099_,1.865µm
_0101_,1.865µm
_0211_,1.84µm
_0457_,1.84µm
_0986_,1.84µm
net289,1.84µm
net290,1.84µm
net291,1.84µm
net335,1.84µm
net341,1.84µm
_0592_,1.82µm
_0655_,1.82µm
_0323_,1.725µm
_0185_,1.72µm
_0244_,1.72µm
_0269_,1.72µm
_0596_,1.72µm
_0636_,1.72µm
_0198_,1.7µm
_0223_,1.7µm
_0604_,1.7µm
net54,1.7µm
_0062_,1.685µm
_0098_,1.685µm
_0348_,1.6µm
_0007_,1.575µm
_0086_,1.575µm
_0134_,1.575µm
_0812_,1.48µm
_0922_,1.48µm
_0133_,1.405µm
_0372_,1.38µm
_0386_,1.38µm
_0398_,1.38µm
_0462_,1.38µm
_0629_,1.38µm
_0727_,1.38µm
_0857_,1.38µm
_0238_,1.265µm
net294,1.265µm
_0774_,1.25µm
_0540_,1.2µm
_0206_,1.14µm
_0469_,1.02µm
_0188_,0.92µm
_0374_,0.92µm
_0448_,0.92µm
_0763_,0.92µm
_0864_,0.92µm
net328,0.92µm
_0424_,0.8µm
_0621_,0.8µm
_0379_,0.46µm
_0465_,0.46µm
_0504_,0.46µm
_0515_,0.46µm
_0564_,0.46µm
_0692_,0.46µm
_0918_,0.46µm
_1025_,0.46µm
pfd_inst.fb_sync\[0\],0.46µm
