Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_54_141,VGND,li1,71.3000,157.7600,0.000021
FILLER_54_139,VGND,li1,69.6900,157.7600,0.000021
FILLER_54_135,VGND,li1,68.5400,157.7600,0.000022
FILLER_54_102,VGND,li1,52.6700,157.7600,0.000022
FILLER_54_93,VGND,li1,48.5300,157.7600,0.000019
FILLER_54_64,VGND,li1,35.8800,157.7600,0.000022
FILLER_54_55,VGND,li1,31.0500,157.7600,0.000024
FILLER_54_49,VGND,li1,29.4400,157.7600,0.000024
FILLER_54_37,VGND,li1,23.4600,157.7600,0.000024
FILLER_54_33,VGND,li1,20.9300,157.7600,0.000022
FILLER_54_29,VGND,li1,19.7800,157.7600,0.000021
FILLER_54_25,VGND,li1,17.7100,157.7600,0.000019
FILLER_53_361,VGND,li1,171.8100,157.7600,0.000006
FILLER_53_343,VGND,li1,163.5300,157.7600,0.000007
FILLER_53_337,VGND,li1,161.9200,157.7600,0.000007
FILLER_53_316,VGND,li1,151.8000,157.7600,0.000012
FILLER_53_297,VGND,li1,142.8300,157.7600,0.000012
FILLER_53_277,VGND,li1,133.6300,157.7600,0.000011
FILLER_53_269,VGND,li1,131.1000,157.7600,0.000014
FILLER_53_232,VGND,li1,115.0000,157.7600,0.000025
FILLER_53_220,VGND,li1,107.6400,157.7600,0.000022
FILLER_53_208,VGND,li1,102.1200,157.7600,0.000021
FILLER_53_192,VGND,li1,95.6800,157.7600,0.000024
FILLER_53_180,VGND,li1,91.0800,157.7600,0.000025
FILLER_53_173,VGND,li1,85.3300,157.7600,0.000025
FILLER_53_169,VGND,li1,84.1800,157.7600,0.000025
FILLER_53_166,VGND,li1,82.3400,157.7600,0.000024
FILLER_53_149,VGND,li1,74.9800,157.7600,0.000018
FILLER_53_139,VGND,li1,69.9200,157.7600,0.000021
FILLER_53_128,VGND,li1,65.3200,157.7600,0.000023
FILLER_53_109,VGND,li1,56.3500,157.7600,0.000023
FILLER_53_101,VGND,li1,53.8200,157.7600,0.000022
FILLER_53_89,VGND,li1,49.2200,157.7600,0.000019
FILLER_53_77,VGND,li1,43.7000,157.7600,0.000016
FILLER_53_67,VGND,li1,36.8000,157.7600,0.000022
FILLER_53_57,VGND,li1,31.9700,157.7600,0.000024
FILLER_53_52,VGND,li1,30.3600,157.7600,0.000024
FILLER_53_33,VGND,li1,21.3900,157.7600,0.000022
FILLER_53_14,VGND,li1,12.1900,157.7600,0.000019
FILLER_53_10,VGND,li1,11.0400,157.7600,0.000019
FILLER_53_3,VGND,li1,7.3600,157.7600,0.000020
FILLER_52_359,VGND,li1,171.3500,152.3200,0.000001
FILLER_52_335,VGND,li1,162.3800,152.3200,0.000001
FILLER_52_319,VGND,li1,153.6400,152.3200,0.000002
FILLER_52_307,VGND,li1,146.9700,152.3200,0.000003
FILLER_52_303,VGND,li1,145.8200,152.3200,0.000003
FILLER_52_291,VGND,li1,142.1400,152.3200,0.000003
FILLER_52_273,VGND,li1,131.3300,152.3200,0.000003
FILLER_52_265,VGND,li1,129.2600,152.3200,0.000004
FILLER_52_253,VGND,li1,124.6600,152.3200,0.000005
FILLER_52_251,VGND,li1,121.2100,152.3200,0.000006
FILLER_52_243,VGND,li1,119.1400,152.3200,0.000007
FILLER_52_231,VGND,li1,114.5400,152.3200,0.000008
FILLER_52_219,VGND,li1,109.0200,152.3200,0.000010
FILLER_52_195,VGND,li1,95.4500,152.3200,0.000017
FILLER_52_183,VGND,li1,92.4600,152.3200,0.000018
FILLER_52_171,VGND,li1,86.9400,152.3200,0.000019
FILLER_52_161,VGND,li1,80.0400,152.3200,0.000019
FILLER_52_152,VGND,li1,75.6700,152.3200,0.000015
FILLER_52_144,VGND,li1,73.6000,152.3200,0.000017
FILLER_52_138,VGND,li1,69.4600,152.3200,0.000019
FILLER_52_128,VGND,li1,65.0900,152.3200,0.000022
FILLER_52_118,VGND,li1,60.2600,152.3200,0.000024
FILLER_52_101,VGND,li1,52.2100,152.3200,0.000022
FILLER_52_73,VGND,li1,40.0200,152.3200,0.000015
FILLER_52_69,VGND,li1,37.4900,152.3200,0.000015
FILLER_52_63,VGND,li1,35.8800,152.3200,0.000014
FILLER_52_51,VGND,li1,31.7400,152.3200,0.000014
FILLER_52_41,VGND,li1,24.8400,152.3200,0.000012
FILLER_52_29,VGND,li1,21.6200,152.3200,0.000011
FILLER_52_27,VGND,li1,18.1700,152.3200,0.000009
FILLER_52_21,VGND,li1,16.5600,152.3200,0.000009
FILLER_52_15,VGND,li1,12.6500,152.3200,0.000007
FILLER_52_3,VGND,li1,9.6600,152.3200,0.000008
FILLER_51_351,VGND,li1,168.8200,152.3200,0.000001
FILLER_51_345,VGND,li1,164.4500,152.3200,0.000001
FILLER_51_337,VGND,li1,162.3800,152.3200,0.000001
FILLER_51_332,VGND,li1,159.1600,152.3200,0.000002
FILLER_51_320,VGND,li1,155.4800,152.3200,0.000002
FILLER_51_308,VGND,li1,149.9600,152.3200,0.000002
FILLER_51_301,VGND,li1,144.6700,152.3200,0.000003
FILLER_51_293,VGND,li1,142.1400,152.3200,0.000003
FILLER_51_281,VGND,li1,137.5400,152.3200,0.000003
FILLER_51_279,VGND,li1,134.0900,152.3200,0.000003
FILLER_51_273,VGND,li1,132.4800,152.3200,0.000003
FILLER_51_261,VGND,li1,128.3400,152.3200,0.000004
FILLER_51_249,VGND,li1,122.8200,152.3200,0.000006
FILLER_51_237,VGND,li1,117.3000,152.3200,0.000008
FILLER_51_225,VGND,li1,111.7800,152.3200,0.000009
FILLER_51_199,VGND,li1,97.2900,152.3200,0.000017
FILLER_51_191,VGND,li1,95.2200,152.3200,0.000017
FILLER_51_177,VGND,li1,88.3200,152.3200,0.000018
FILLER_51_169,VGND,li1,83.4900,152.3200,0.000019
FILLER_51_144,VGND,li1,72.2200,152.3200,0.000017
FILLER_51_122,VGND,li1,62.1000,152.3200,0.000024
FILLER_51_117,VGND,li1,59.8000,152.3200,0.000025
FILLER_51_101,VGND,li1,53.8200,152.3200,0.000024
FILLER_51_77,VGND,li1,42.3200,152.3200,0.000014
FILLER_51_57,VGND,li1,32.4300,152.3200,0.000014
FILLER_51_55,VGND,li1,31.0500,152.3200,0.000013
FILLER_51_49,VGND,li1,29.4400,152.3200,0.000013
FILLER_51_33,VGND,li1,21.6200,152.3200,0.000011
