net,length_um
_0713_,4.34µm
_1002_,4.34µm
dco_inst.accumulator\[6\],4.34µm
pfd_inst.fb_sync\[2\],4.34µm
div_val[4],4.27µm
_0011_,4.24µm
_0068_,4.24µm
_0771_,4.22µm
_0983_,4.22µm
_0759_,4.2µm
_0837_,4.2µm
_0857_,4.2µm
_0860_,4.2µm
div_val[13],4.15µm
div_val[19],4.15µm
div_val[1],4.15µm
div_val[23],4.15µm
div_val[27],4.15µm
_0990_,4.14µm
net174,4.14µm
_0025_,4.125µm
_0571_,4.12µm
net175,4.12µm
_0599_,4.1µm
_0687_,4.1µm
_0478_,4.08µm
net198,4.08µm
_0238_,4.02µm
_0301_,4.02µm
_0763_,4.02µm
_0937_,4.02µm
_0337_,4µm
_0453_,4µm
_0607_,4µm
_0692_,4µm
_0875_,4µm
_0925_,4µm
_0927_,4µm
net190,4µm
_0533_,3.98µm
dco_inst.accumulator\[2\],3.98µm
_0034_,3.925µm
_0151_,3.925µm
_0029_,3.92µm
_0373_,3.9µm
_1028_,3.9µm
_0204_,3.88µm
_0250_,3.88µm
_0381_,3.88µm
_0682_,3.88µm
_0779_,3.88µm
_1001_,3.88µm
div_val[18],3.81µm
_0016_,3.8µm
_0122_,3.78µm
_0137_,3.78µm
_0557_,3.78µm
_0517_,3.76µm
_0657_,3.76µm
_0036_,3.705µm
_0064_,3.705µm
_0072_,3.705µm
_0115_,3.705µm
_0597_,3.68µm
_0876_,3.68µm
net204,3.68µm
net212,3.68µm
_0281_,3.66µm
_0873_,3.64µm
_0476_,3.6µm
_0302_,3.56µm
_0898_,3.56µm
_0956_,3.56µm
_0970_,3.56µm
net178,3.56µm
net194,3.56µm
_0603_,3.54µm
_0869_,3.54µm
dco_inst.accumulator\[7\],3.54µm
_0324_,3.52µm
div_val[11],3.47µm
div_val[15],3.47µm
div_val[20],3.47µm
div_val[22],3.47µm
div_val[24],3.47µm
div_val[3],3.47µm
div_val[5],3.47µm
_0058_,3.465µm
_0071_,3.465µm
_0186_,3.44µm
_0847_,3.44µm
_0963_,3.44µm
_1045_,3.44µm
dco_inst.accumulator\[15\],3.44µm
dco_inst.accumulator\[24\],3.44µm
_0270_,3.42µm
_0475_,3.42µm
_0899_,3.42µm
net172,3.42µm
net200,3.42µm
net207,3.42µm
net213,3.42µm
_0643_,3.38µm
_0005_,3.345µm
_0803_,3.32µm
dco_inst.accumulator\[26\],3.32µm
_0804_,3.3µm
_0001_,3.245µm
_0096_,3.225µm
_0000_,3.22µm
_0783_,3.22µm
net229,3.22µm
_1033_,3.2µm
_0100_,3.145µm
_0369_,3.085µm
_0316_,3.08µm
_0362_,3.08µm
_0410_,3.08µm
_0485_,3.08µm
_0636_,3.08µm
_0655_,3.08µm
dco_inst.accumulator\[3\],3.08µm
net233,3.08µm
_0114_,3.045µm
_0083_,3.015µm
_0042_,3.005µm
_0067_,3.005µm
_0109_,3.005µm
_0112_,3.005µm
_0123_,3.005µm
_0126_,3.005µm
_0149_,3.005µm
_0234_,2.96µm
_0292_,2.96µm
_0293_,2.96µm
_0437_,2.96µm
_0656_,2.96µm
_0719_,2.96µm
_0725_,2.96µm
net45,2.96µm
net46,2.96µm
net167,2.96µm
_0977_,2.94µm
_0006_,2.885µm
_0030_,2.86µm
_0048_,2.86µm
_0105_,2.86µm
_0082_,2.785µm
_0505_,2.76µm
_0665_,2.76µm
_0839_,2.76µm
_1038_,2.76µm
net182,2.76µm
net210,2.76µm
net221,2.76µm
_0339_,2.74µm
_0350_,2.74µm
_0513_,2.74µm
_0090_,2.715µm
_0134_,2.715µm
_0143_,2.715µm
_0354_,2.64µm
_0358_,2.64µm
_0391_,2.64µm
_0734_,2.64µm
_1003_,2.64µm
net183,2.64µm
_0356_,2.625µm
_0244_,2.62µm
_0253_,2.62µm
_0325_,2.62µm
_0808_,2.62µm
net230,2.62µm
_0018_,2.585µm
_0140_,2.585µm
_0020_,2.545µm
_0040_,2.545µm
_0119_,2.545µm
_0127_,2.545µm
_0130_,2.545µm
_0148_,2.545µm
_0010_,2.54µm
_0033_,2.54µm
net187,2.52µm
_0217_,2.5µm
_0232_,2.5µm
_0675_,2.5µm
_0738_,2.5µm
_0758_,2.5µm
_0989_,2.5µm
_0995_,2.5µm
net186,2.5µm
net203,2.5µm
_0050_,2.485µm
_0070_,2.485µm
_0550_,2.46µm
_0041_,2.42µm
_0097_,2.42µm
_0008_,2.375µm
_0080_,2.375µm
_0093_,2.375µm
_0098_,2.375µm
net226,2.375µm
_0022_,2.325µm
_0027_,2.325µm
_0044_,2.325µm
_0054_,2.325µm
_0057_,2.325µm
_0095_,2.325µm
_0129_,2.325µm
_0503_,2.3µm
_0523_,2.3µm
_0568_,2.3µm
_0979_,2.3µm
net173,2.3µm
net223,2.3µm
net219,2.28µm
_0088_,2.255µm
_0136_,2.255µm
_0334_,2.18µm
_0426_,2.18µm
_0629_,2.18µm
net170,2.18µm
net184,2.18µm
net227,2.18µm
_0180_,2.16µm
_0390_,2.16µm
_0463_,2.16µm
_0617_,2.16µm
_0644_,2.16µm
_0741_,2.16µm
_0780_,2.16µm
pfd_inst.ref_sync\[2\],2.16µm
net195,2.16µm
_0065_,2.145µm
_0138_,2.125µm
_0139_,2.125µm
net191,2.125µm
_0160_,2.09µm
_0131_,2.085µm
_0132_,2.085µm
_0133_,2.085µm
_0142_,2.085µm
_0146_,2.085µm
_0055_,2.08µm
_0799_,2.07µm
_0291_,2.06µm
_0911_,2.06µm
_0986_,2.06µm
_0993_,2.06µm
_0960_,2.04µm
_0991_,2.04µm
_0051_,2.035µm
_0045_,2.025µm
_0086_,2.025µm
_0106_,2.025µm
_0637_,1.94µm
_0435_,1.88µm
_0043_,1.865µm
_0046_,1.865µm
_0047_,1.865µm
_0052_,1.865µm
_0108_,1.865µm
_0113_,1.865µm
_0128_,1.865µm
_0144_,1.865µm
_0932_,1.85µm
_0512_,1.84µm
_0576_,1.84µm
_0623_,1.84µm
_0807_,1.84µm
_0843_,1.84µm
net177,1.84µm
net201,1.84µm
_0311_,1.82µm
_0431_,1.82µm
_0978_,1.82µm
_0528_,1.81µm
_0670_,1.81µm
_0589_,1.8µm
_0298_,1.72µm
_0396_,1.72µm
_0507_,1.72µm
_0536_,1.72µm
_0669_,1.72µm
_0830_,1.72µm
_0853_,1.72µm
_1026_,1.72µm
_0004_,1.7µm
_0443_,1.7µm
_0459_,1.7µm
_0795_,1.7µm
_0840_,1.7µm
_0952_,1.7µm
_0969_,1.7µm
_0984_,1.7µm
net176,1.7µm
net202,1.7µm
_0135_,1.685µm
_0178_,1.6µm
_0500_,1.6µm
_0141_,1.575µm
_0833_,1.56µm
_0900_,1.485µm
_0549_,1.48µm
_0502_,1.46µm
_0616_,1.46µm
_0023_,1.405µm
_0066_,1.405µm
_0118_,1.405µm
_0125_,1.405µm
_0651_,1.38µm
_0813_,1.38µm
_0887_,1.38µm
_0945_,1.38µm
_1005_,1.38µm
net215,1.38µm
net228,1.38µm
_0824_,1.36µm
net196,1.36µm
_0322_,1.26µm
_0821_,1.26µm
_0384_,1.14µm
net67,1.14µm
_0309_,0.92µm
_0352_,0.92µm
_0879_,0.92µm
_0971_,0.92µm
_1012_,0.92µm
net189,0.92µm
_0331_,0.8µm
_0710_,0.8µm
_0224_,0.46µm
_0508_,0.46µm
_0551_,0.46µm
_0590_,0.46µm
_0593_,0.46µm
_0685_,0.46µm
_0708_,0.46µm
_0715_,0.46µm
_0723_,0.46µm
_0732_,0.46µm
